13.9181 13.9181 0.118211      14 14 0      -1.6388 -1.6388 2.36422
14.8978 13.9277 0.102156      15 14 0      -2.04313 -1.44568 2.04312
0.0889955 14.911 0.0889954      0 15 0      1.77991 -1.77991 1.77991
1.07228 14.8978 0.102156      1 15 0      1.44568 -2.04313 2.04312
2.05936 14.8889 0.111062      2 15 0      1.18714 -2.22124 2.22123
3.04764 14.8825 0.117473      3 15 0      0.952715 -2.34946 2.34945
4.03655 14.8779 0.122121      4 15 0      0.73106 -2.44243 2.44243
5.02587 14.8746 0.125379      5 15 0      0.517303 -2.50759 2.50758
6.01543 14.8725 0.127456      6 15 0      0.308525 -2.54912 2.54912
7.00513 14.8715 0.128468      7 15 0      0.10254 -2.56936 2.56935
7.99487 14.8715 0.128468      8 15 0      -0.10254 -2.56936 2.56935
8.98457 14.8725 0.127456      9 15 0      -0.308525 -2.54912 2.54912
9.97413 14.8746 0.125379      10 15 0      -0.517303 -2.50759 2.50758
10.9634 14.8779 0.122121      11 15 0      -0.73106 -2.44243 2.44243
11.9524 14.8825 0.117473      12 15 0      -0.952715 -2.34946 2.34945
12.9406 14.8889 0.111062      13 15 0      -1.18714 -2.22124 2.22123
13.9277 14.8978 0.102156      14 15 0      -1.44568 -2.04313 2.04312
14.911 14.911 0.0889954      15 15 0      -1.77991 -1.77991 1.77991
0.102157 0.102156 1.07228      0 0 1      2.04313 2.04313 1.44568
1.08194 0.118211 1.08194      1 0 1      1.6388 2.36423 1.6388
2.06645 0.128827 1.08952      2 0 1      1.32896 2.57655 1.79037
3.05287 0.13631 1.09527      3 0 1      1.05732 2.7262 1.90535
4.04033 0.141657 1.09953      4 0 1      0.806545 2.83314 1.99056
5.02842 0.145368 1.10254      5 0 1      0.568468 2.90736 2.05089
6.01691 0.147719 1.10448      6 0 1      0.338214 2.95438 2.08955
7.00561 0.148861 1.10542      7 0 1      0.112277 2.97722 2.10843
7.99439 0.148861 1.10542      8 0 1      -0.112277 2.97722 2.10843
8.98309 0.147719 1.10448      9 0 1      -0.338214 2.95438 2.08955
9.97158 0.145368 1.10254      10 0 1      -0.568468 2.90736 2.05089
10.9597 0.141657 1.09953      11 0 1      -0.806545 2.83314 1.99056
11.9471 0.13631 1.09527      12 0 1      -1.05732 2.7262 1.90535
12.9336 0.128827 1.08952      13 0 1      -1.32896 2.57655 1.79037
13.9181 0.118211 1.08194      14 0 1      -1.6388 2.36423 1.6388
14.8978 0.102156 1.07228      15 0 1      -2.04313 2.04313 1.44568
0.118211 1.08194 1.08194      0 1 1      2.36423 1.6388 1.6388
1.09352 1.09352 1.09352      1 1 1      1.87041 1.87041 1.8704
2.07477 1.10246 1.10246      2 1 1      1.49547 2.04925 2.04924
3.05891 1.10914 1.10914      3 1 1      1.1782 2.18281 2.1828
4.04464 1.11403 1.11403      4 1 1      0.892823 2.2806 2.2806
5.03133 1.11746 1.11746      5 1 1      0.626519 2.34927 2.34926
6.01859 1.11965 1.11965      6 1 1      0.371747 2.39301 2.393
7.00616 1.12072 1.12072      7 1 1      0.12325 2.41431 2.4143
7.99384 1.12072 1.12072      8 1 1      -0.123249 2.41431 2.4143
8.98141 1.11965 1.11965      9 1 1      -0.371747 2.39301 2.393
9.96867 1.11746 1.11746      10 1 1      -0.626519 2.34927 2.34926
10.9554 1.11403 1.11403      11 1 1      -0.892823 2.2806 2.2806
11.9411 1.10914 1.10914      12 1 1      -1.1782 2.18281 2.1828
12.9252 1.10246 1.10246      13 1 1      -1.49547 2.04925 2.04924
13.9065 1.09352 1.09352      14 1 1      -1.87041 1.87041 1.8704
14.8818 1.08194 1.08194      15 1 1      -2.36423 1.6388 1.6388
0.128827 2.06645 1.08952      0 2 1      2.57655 1.32896 1.79037
1.10246 2.07477 1.10246      1 2 1      2.04925 1.49547 2.04924
2.08177 2.08177 1.11247      2 2 1      1.63541 1.63541 2.24937
3.0642 2.08731 1.11992      3 2 1      1.28402 1.74612 2.39844
4.0485 2.0915 1.12536      4 2 1      0.969926 1.82991 2.50717
5.03395 2.09449 1.12916      5 2 1      0.678965 1.88983 2.58323
6.02011 2.09642 1.13158      6 2 1      0.402214 1.92839 2.63155
7.00666 2.09736 1.13275      7 2 1      0.133243 1.94726 2.65504
7.99334 2.09736 1.13275      8 2 1      -0.133243 1.94726 2.65504
8.97989 2.09642 1.13158      9 2 1      -0.402214 1.92839 2.63155
9.96605 2.09449 1.12916      10 2 1      -0.678965 1.88983 2.58323
10.9515 2.0915 1.12536      11 2 1      -0.969926 1.82991 2.50717
11.9358 2.08731 1.11992      12 2 1      -1.28402 1.74612 2.39844
12.9182 2.08177 1.11247      13 2 1      -1.63541 1.63541 2.24937
13.8975 2.07477 1.10246      14 2 1      -2.04925 1.49547 2.04924
14.8712 2.06645 1.08952      15 2 1      -2.57655 1.32896 1.79037
0.13631 3.05287 1.09527      0 3 1      2.7262 1.05732 1.90535
1.10914 3.05891 1.10914      1 3 1      2.18281 1.1782 2.1828
2.08731 3.0642 1.11992      2 3 1      1.74612 1.28402 2.39844
3.06855 3.06855 1.12798      3 3 1      1.37109 1.37109 2.55955
4.05174 3.07194 1.13386      4 3 1      1.0349 1.43888 2.67714
5.03619 3.07441 1.13797      5 3 1      0.723793 1.48827 2.75936
6.02142 3.07602 1.14058      6 3 1      0.42846 1.52042 2.81157
7.00709 3.07681 1.14185      7 3 1      0.141883 1.53624 2.83692
7.99291 3.07681 1.14185      8 3 1      -0.141883 1.53624 2.83692
8.97858 3.07602 1.14058      9 3 1      -0.42846 1.52042 2.81156
9.96381 3.07441 1.13797      10 3 1      -0.723793 1.48827 2.75936
10.9483 3.07194 1.13386      11 3 1      -1.0349 1.43888 2.67714
11.9314 3.06855 1.12798      12 3 1      -1.37109 1.37109 2.55955
12.9127 3.0642 1.11992      13 3 1      -1.74612 1.28402 2.39844
13.8909 3.05891 1.10914      14 3 1      -2.18281 1.1782 2.1828
14.8637 3.05287 1.09527      15 3 1      -2.7262 1.05732 1.90535
0.141657 4.04033 1.09953      0 4 1      2.83314 0.806545 1.99056
1.11403 4.04464 1.11403      1 4 1      2.28061 0.892824 2.2806
2.0915 4.0485 1.12536      2 4 1      1.82991 0.969926 2.50717
3.07194 4.05174 1.13386      3 4 1      1.43888 1.0349 2.67714
4.05433 4.05433 1.14007      4 4 1      1.08655 1.08655 2.80149
5.038 4.05624 1.14443      5 4 1      0.75991 1.12475 2.88854
6.02249 4.05749 1.14719      6 4 1      0.449777 1.14987 2.94382
7.00745 4.05812 1.14853      7 4 1      0.148926 1.1623 2.97068
7.99255 4.05812 1.14853      8 4 1      -0.148926 1.1623 2.97068
8.97751 4.05749 1.14719      9 4 1      -0.449777 1.14987 2.94382
9.962 4.05624 1.14443      10 4 1      -0.75991 1.12475 2.88854
10.9457 4.05433 1.14007      11 4 1      -1.08655 1.08655 2.80149
11.9281 4.05174 1.13386      12 4 1      -1.43888 1.0349 2.67714
12.9085 4.0485 1.12536      13 4 1      -1.82991 0.969925 2.50717
13.886 4.04464 1.11403      14 4 1      -2.28061 0.892823 2.2806
14.8583 4.04033 1.09953      15 4 1      -2.83314 0.806545 1.99056
0.145368 5.02842 1.10254      0 5 1      2.90736 0.568468 2.05089
1.11746 5.03133 1.11746      1 5 1      2.34927 0.626519 2.34926
2.09449 5.03395 1.12916      2 5 1      1.88983 0.678965 2.58323
3.07441 5.03619 1.13797      3 5 1      1.48827 0.723793 2.75936
4.05624 5.038 1.14443      4 5 1      1.12475 0.75991 2.88854
5.03935 5.03935 1.14895      5 5 1      0.786918 0.786918 2.9791
6.02329 5.04024 1.15183      6 5 1      0.465827 0.804808 3.03665
7.00771 5.04069 1.15323      7 5 1      0.154246 0.813703 3.06463
7.99229 5.04069 1.15323      8 5 1      -0.154246 0.813703 3.06463
8.97671 5.04024 1.15183      9 5 1      -0.465827 0.804808 3.03665
