705.697 1039.67      705.449 1039.52      0.247654 0.152067
878.206 1320.62      877.943 1320.05      0.263357 0.572036
397.711 638.701      398.137 638.967      -0.426332 -0.265624
1532.91 903.958      1531.64 903.695      1.26992 0.262711
1933.84 1017.26      1931.83 1016.62      2.00215 0.646052
1572.67 368.445      1571.56 368.69      1.10299 -0.24549
734.86 2632.5      734.521 2629.61      0.339202 2.89057
500.937 613.364      500.573 613.307      0.363591 0.0568521
554.034 164.122      554.258 164.674      -0.223163 -0.55156
1032.79 1120.97      1032.09 1120.67      0.696736 0.295367
-710.562 59.8403      -708.977 60.9014      -1.58561 -1.06129
189.122 911.046      189.034 910.874      0.0876771 0.171247
745.371 1181.41      744.886 1181.18      0.484296 0.237503
324.325 738.236      324.782 738.446      -0.45724 -0.210378
-774.059 712.867      -772.538 712.921      -1.52149 -0.0542652
-140.913 890.589      -140.717 890.665      -0.194729 -0.0761297
198.363 684.899      198.518 685.099      -0.153948 -0.200679
170.708 -123.416      171.185 -122.322      -0.475287 -1.09398
910.963 472.069      910.577 472.263      0.386749 -0.194454
-140.205 1252.09      -139.807 1251.33      -0.397814 0.759916
-604.913 765.719      -603.655 765.96      -1.25794 -0.241097
213.927 124.605      214.002 125.366      -0.075279 -0.760435
399.384 562.475      399.919 562.49      -0.535215 -0.016945
287.062 771.405      287.407 771.75      -0.344216 -0.346768
713.517 856.202      713.143 855.772      0.373847 0.43007
812.491 169.947      812.283 170.256      0.208087 -0.309487
722.154 496.509      721.764 496.494      0.390581 0.014496
1055.2 891.394      1054.91 890.948      0.289238 0.445049
1105.98 1739.47      1105.2 1737.99      0.780104 1.4809
671.623 1544.85      671.639 1543.87      -0.0152975 0.971373
903.244 802.45      902.4 801.31      0.84349 1.14102
823.667 1140.23      823.152 1139.07      0.514836 1.16429
2092.95 2377.38      2090.64 2374.68      2.3078 2.70606
498.347 -44.4361      498.804 -43.2342      -0.456366 -1.20131
1309.24 1190.32      1308.41 1189.37      0.826374 0.958589
540.738 402.738      541.464 402.991      -0.726102 -0.252108
168.866 1712.31      169.315 1710.94      -0.448309 1.36131
65.2004 148.545      65.9619 149.611      -0.763093 -1.06703
807.073 681.887      806.874 682.201      0.198534 -0.314949
-58.9642 824.187      -58.3321 824.376      -0.632432 -0.18996
464.365 699.877      464.531 699.718      -0.163277 0.159724
860.64 289.233      860.3 289.714      0.339672 -0.480749
735.812 110.208      735.523 111.143      0.290907 -0.935298
170.967 605.751      171.056 606.202      -0.0885037 -0.45166
-315.76 523.568      -315.206 523.81      -0.553945 -0.242546
-489.52 -227.057      -488.233 -225.683      -1.28673 -1.37307
-255.853 1253.67      -255.096 1252.66      -0.756424 1.01118
19.249 1097.15      19.9057 1096.68      -0.656683 0.469635
-100.068 410.053      -98.5779 409.861      -1.47729 0.19055
527.18 641.187      527.211 640.986      -0.0308967 0.203246
164.48 257.582      164.638 258.268      -0.157742 -0.686186
